German,English
ebenso,as well
Boden,floor
bevor,before
verwenden,use
Politik,politics
Tod,Death
Erfolg,success
zudem,in addition
Bank,Bank
ab,away
persönlich,personal
Präsident,president
holen,to fetch
Junge,Young
sogenannt,so -called
Polizei,police
Chance,chance
gewiss,certainly
innerhalb,inside
Kunst,art
Lage,location
Schüler,pupils
gesamt,total
Druck,Print
verschwinden,disappear
wohnen,reside
bewegen,move
enthalten,contain
aufnehmen,take up
Kosten,Costs
Wintersemester,Winter semester
merken,notice
fest,fixed
aktuell,currently
Begriff,expression
erleben,experience
relativ,relative
laut,according to
Fuß,Foot
Daten,Data
Krieg,War
Gast,Guest
Aussage,expression
Gesetz,Law
planen,to plan
schwierig,difficult
Gut,Good
Kilometer,kilometre
zusätzlich,additionally
vergessen,to forget
Gedanke,Thought
besitzen,own
ach,Oh
Partei,Political party
freuen,looking forward
hängen,hang
berichten,to report
Zelle,cell
eng,closely
Kultur,Culture
Prozess,process
Sohn,Son
Dank,Thanks to
trotz,in spite of
fordern,demand
studieren,to study
gefallen,please
Mädchen,girl
verhalten,behave
mindestens,at least
ziemlich,pretty much
Interesse,interest
unterscheiden,differentiate
wobei,in which
jeweils,respectively
reichen,pass
sieben,seven
zumindest,at least
schlagen,beat
Tier,animal
jedenfalls,in any case
am,at the
erhöhen,raise
sorgen,care for
Erfahrung,experience
Patient,patient
Morgen,morning
Arzt,physician
geschehen,happen
Bayern,Bavaria
lösen,to solve
irgendwie,somehow
anbieten,offer
vorkommen,occurrence
okay,OK
wünschen,to wish
interessieren,interest
Unterschied,difference
Foto,photo
trinken,drink
derselbe,the same
wählen,Select
gleichzeitig,simultaneously
knapp,meager
Mitarbeiter,employees
übernehmen,take over
Glück,happiness                                                                                           
normal,normal
leider,unfortunately
Grundlage,basis
acht,eight
Leistung,Performance
vorliegen,exist
erfolgen,take place
Beziehung,relationship
zunehmen,gain weight
Molekül,molecule
stattfinden,occur
ankommen,arrive
auftreten,appear
insbesondere,in particular
technisch,technically
wann,when
los,Come on
Bett,bed
Höhe,Height
wesentlich,essential
englisch,English
zuletzt,last
rein,pure
Zimmer,Room
indem,in which
bauen,build
Verhältnis,Relationship
selten,Rare
Zeitung,newspaper
innere,inner
beispielsweise,for example
Bedingung,Condition
Fenster,window
Zug,train
derzeit,currently
funktionieren,function
sowohl,as well as
schlafen,sleep
statt,instead of
Werk,plant
grün,green
Bürger,Citizens
dienen,serve
echt,real
Firma,company
Wirtschaft,Business
stecken,put
hoffen,hope
erfahren,Experienced
Mittel,Middle
Folie,foil
leisten,Afford
Tochter,daughter
Lehrer,teacher
passen,fit
beobachten,watch
Einführung,introduction
Element,element
klingen,sound
lieben,love
Dame,lady
Vorlesung,lecture
zählen,counting
meist,most of time
dunkel,dark
Österreich,Austria
Modell,model
Bewegung,movement
unten,below
Mitte,center
hin,there
aufgrund,because of
beschäftigen,employ
zuvor,before
miteinander,together
dennoch,nonetheless
werfen,throw
Angebot,offer
Projekt,Project
verkaufen,Selling
reagieren,react
Autor,author
kriegen,get
zirka,about
Europäische Union,European Union
Größe,size
hart,hard
offenbar,apparently
Bruder,Brothers
beteiligen,participate
Phase,phase
angeben,indicate
Reise,travel
erfolgreich,successful
Zustand,condition
wahr,true
Reihe,Row
Natur,Nature
rechnen,calculate
bloß,just
notwendig,necessary
entdecken,discover
dauern,last
wirtschaftlich,economically
privat,Private
modern,modern
Haar,hair
deswegen,because of this
spüren,sense
unabhängig,independent
morgen,morning
Rahmen,frame
übrigens,by the way
Einheit,Unit
überall,overall
feststellen,determine
Stoff,material
Rede,speech
unterstützen,support
chemisch,chemical
schlimm,terrible
Schweiz,Switzerland
irgendwann,Sometime
Geschäft,business
weder,neither
Anteil,Portion
Angabe,specification
Team,team
außer,except
Sommer,Summer
Hotel,hotel
laut,according to
eins,one
Alter,Old
Sicherheit,security
Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
niedrig,low
ständig,constant
Einsatz,mission
liefern,delivery
betonen,emphasize
Erde,Earth
Studie,study
vorne,in front
rechte,right
Meinung,opinion
drehen,turn
Künstler,Artist
aktiv,active
Versuch,experiment
somit,therewith
bezahlen,pay
Eigenschaft,Characteristic
längst,a long time ago
Methode,method
Ordnung,Order
Russland,Russia
Wahl,choice
daraus,from this
erfüllen,fulfill
Mama,mummy
Region,region
Sonntag,Sunday
Internet,Internet
Nummer,number
lächeln,smile
genauso,just like that
überzeugen,convince
interessant,Interesting
menschlich,human
Elektron,electron
Frankreich,France
Freiheit,freedom
speziell,special
französisch,French
negativ,negative
zentral,central
Ebene,level
besuchen,visit
gestern,yesterday
Spieler,player
absolut,absolutely
fliegen,to fly
Hund,dog
antworten,answers
weiterhin,Farther
Wand,Wall
rechts,right
konkret,concrete
russisch,Russian
zahlen,to count
zugleich,simultaneously
Feld,Field
verdienen,to earn
amerikanisch,American
Sekunde,second
Brief,letter
Mitglied,Member
praktisch,practical
Gefahr,Danger
binden,tie
weltweit,worldwide
Liebe,love
Beginn,Beginnings
China,China
breit,wide
draußen,outside
Wirkung,Effect
Bildung,training
Blut,blood
Meer,sea
Anzahl,number
Veränderung,change
durchaus,quite
Mund,mouth
berechnen,to calculate
betragen,be
fremd,strange
Untersuchung,investigation
Fehler,Mistake
mittlerweile,in the meantime
aufbauen,build up
Sonne,Sun
Prinzip,principle
vorher,beforehand
Kampf,Battle
Verfügung,disposal
feiern,celebrate
Programm,program
linke,left
Einfluss,influence
Temperatur,temperature
leer,empty
mitteilen,communicate
Verfahren,procedure
danke,thank you
beziehen,relate
verlangen,demand
zuerst,first
Analyse,analysis
klassisch,classic
ehemalig,former
Bein,leg
Glas,Glass
untersuchen,investigate
kalt,cold
Sorge,Worries
Himmel,heaven
künftig,future
national,national
Kirche,Church
links,Left
Christlich Demokratische Union,Christian Democratic Union
bislang,so far
messen,measure up
lieb,dear
unbedingt,necessarily
Verein,Association
Atom,atom
historisch,historical
sinken,sink
kosten,costs
Vorstellung,performance
entscheidend,decisive
teilen,divide
Typ,Type
stammen,come
wissenschaftlich,scientific
wieso,how come
Faktor,factor
Bindung,binding
Literatur,literature
überraschen,to surprise
bestätigen,to confirm
bewusst,deliberately
Abschnitt,section
Nähe,vicinity
zahlreich,numerous
medizinisch,medical
übrig,left over
Türkei,Turkey
Produktion,production
drücken,to press
drohen,threaten
Linie,line
Gas,gas
schicken,send
Hälfte,half
Kontakt,Contact
Interview,interview
egal,no matter
reisen,to travel
Berg,Mountain
irgendwo,somewhere
trennen,separate
benötigen,require
Erinnerung,Memory
verhindern,impede
Sicht,view
Dollar,dollar
leiden,To suffer
Anspruch,claim
Position,position
Sport,Sports
Bürgerliches Gesetzbuch,Civil Code
Nachfrage,demand
blau,blue
anschauen,look at
teuer,expensive
Medien,media
richten,judge
Institut,Institute
Plan,plan
immerhin,after all
Tor,Goal
Betrieb,operation
komplex,complex
Dorf,village
eignen,be suitable
Klasse,Class
eingehen,enter into
erlauben,to allow
treiben,float
weg,away
aufstehen,stand up
Absatz,Unit volume
unterwegs,On the way
Vertrag,contract
Ausdruck,Expression
geraten,devices
toll,Great
schweigen,remain silent
Schwester,sister
Chef,boss
greifen,to grab
Risiko,risk
schwach,weak
Tabelle,tabel
ermöglichen,make possible
Freitag,Friday
Hinweis,a notice
Vorteil,advantage
Protein,protein
Gewinn,Profit
grundsätzlich,basically
März,March
wiederholen,to repeat
Ruhe,quiet
Darstellung,depiction
ruhig,calm
Traum,Dream
behandeln,treat
stets,always
aufhören,stop
schützen,protection
diskutieren,to discuss
Ferse,heel
Sprecher,speaker
produzieren,to produce
Kritik,criticism
erneut,again
Trainer,Trainer
April,April
melden,Report
wiederum,in turn
Opfer,victim
hinaus,out of
vorhanden,present
Westen,west
Titel,title
Eindruck,impression
Baum,tree
lauten,ring
Diskussion,discussion
hingegen,however
Student,University student
Bevölkerung,population
Finger,finger
Grüne,Green
total,total
Abstand,Distance
Schulter,shoulder
Maßnahme,measure
Band,tape
darunter,underneath
derjenige,the one
Wald,forest
Insel,Island
Schluss,Ending
anschließend,afterward
Volk,People
kulturell,cultural
definieren,define
September,September
Beruf,profession
Ansatz,approach
nötig,necessary
herrschen,to rule
Sieg,victory
Küche,kitchen
verantwortlich,responsible
täglich,Every day
Montag,Monday
Spaß,fun
herstellen,produce
überlegen,think
Mai,May
umfassen,include
ernst,serious
Roman,novel
Januar,January
neun,nine
kämpfen,battle
jeweilig,respective
versprechen,promise
Definition,definition
vollständig,Completely
heben,to lift
Rücken,Move
existieren,exist
Masse,Dimensions
singen,to sing
Theorie,theory
Inhalt,contents
scheitern,fail
Ereignis,occurrence
lediglich,only 
organisch,organic
glücklich,happy
Rest,rest
Wunsch,Wish
beschließen,decide on
dick,thick
riesig,gigantic
heutig,today
hallo,Hi
Museum,museum
Farbe,Color
zwölf,twelve
per,by
regelmäßig,regularly
her,from
wechseln,switch
einstellen,set
Theater,theatre
König,king
Ohr,Ear
fördern,support financially
elektrisch,electrical
Aufbau,Construction
Beitrag,contribution
Februar,February
durchführen,execute
einfallen,come to mind
verletzen,injure
Kontrolle,control
Macht,Makes
Mannschaft,team
entweder,either
behaupten,claim
Hoffnung,Hope
Verantwortung,responsibility
schreien,scream
andererseits,on the other hand
Besuch,Visit
hundert,hundred
Quelle,source
typisch,typical
Gebiet,Area
Behörde,authority
Samstag,Saturday
Organisation,organization
Summe,total
Job,job
ausreichen,be sufficient
Grad,Degree
irgendein,any
benutzen,to use
irgendetwas,anything
teilweise,partially
vertrauen,to trust
Jahrzehnt,decade
Wind,wind
unmittelbar,immediate
Bund,Federation
extrem,extreme
Merkmal,feature
theoretisch,theoretically
ermitteln,determine
Papa,father
Krankheit,illness
Voraussetzung,precondition
töten,kill
formulieren,formulate
Substanz,substance
Zeitpunkt,time
wenigstens,at least
Gang,corridor
Politiker,Politician
Unterstützung,support
hey,hey
brechen,break
fassen,grasp
Zentrum,center
anrufen,call
entfernen,remove
Juni,June
Haut,skin
verfolgen,follow
gesellschaftlich,socially
Schutz,Protection
Generation,generation
chinesisch,Chinese
Zeichen,Sign
Wahrheit,truth
Haushalt,household
Garten,Garden
hinten,rear
auffallen,stand out
Gegensatz,contrast
verteilen,to distribute
Papier,paper
physikalisch,physically
angesichts,in the face of
leise,quietly
vermutlich,allegedly
eindeutig,clearly
heraus,out
falls,if
erstmals,for the first time
Partner,partner
nachdenken,ponder
Ausbildung,Training
Wagen,Car
Schiff,Ship
tausend,thousand
Tat,did
obere,upper
Gleichung,equation
Stein,Stone
kümmern,To take care of
mittlere,medium
erheben,raise
Erklärung,Explanation
Konzept,concept
Mittwoch,Wednesday
stören,disturb
Spur,track
berliner,Donut
Herausforderung,challenge
starten,start
staatlich,state
verbessern,improve
heiß,hot
Vergangenheit,past
Gleichgewicht,balance
Griechenland,Greece
Maß,Measure
abgeben,hand over
Bericht,report
Qualität,quality
Rand,edge
Italien,Italy
Kern,core
Winter,winter
Hintergrund,background
Osten,east
Amerika,America
geboren,born
gefährlich,dangerous
zwingen,force
Bier,Beer
ansprechen,speak to
komplett,completely
Forderung,Financial support
gelangen,reach
Nachricht,news
sammeln,collect
ablehnen,decline
stoßen,bump
konstant,constant
Oktober,October
umgehen,bypass
angehen,approach
verlaufen,get lost
demnach,therefore
auftauchen,Pop up
böse,evil
auslösen,trigger
weitergehen,go on
abhängen,depend
Geschwindigkeit,speed
ideal,ideal
Augenblick,moment
reduzieren,to reduce
Maschine,machine
linear,linear
ausmachen,turn off
eintreten,enter
kritisch,critical
äh,ah
Wochenende,weekend
Donnerstag,Thursday
Saison,season
Forscher,Researcher
gründen,establish
offensichtlich,obviously
Teilchen,Particle
genügen,meet
schieben,push
Computer,computer
Effekt,effect
abnehmen,decrease
Verteilung,distribution
blicken,look
beitragen,contribute
Anwendung,application
zeichnen,draw
frisch,fresh
meistens,usually
erwähnen,mention
Welle,Wave
Nase,Nose
vertreten,represent
dicht,densely
Soldat,soldier
bereit,ready
Technik,Technology
Blatt,Sheet
prägen,shape
sozusagen,so to speak
November,November
Schweizer,Swiss
gesund,healthy
danken,to thank
Fußball,Soccer
Umstand,fact
einladen,invite
Kilogramm,kilogram
warm,warm
Integration,integration
Nachbar,Neighbor
maximal,maximum
Figur,figure
Freude,joy
offiziell,officially
außen,Outside
Kreis,Circle
nicken,nod
digital,digital
unbekannt,unknown
Gericht,court
schätzen,estimate
organisieren,to organize
Aspekt,aspect
verzichten,waive
bemerken,notice
Kaffee,Coffee
Leid,Sorrow
still,quiet
leiten,conduct
Vertreter,Representative
Statistik,statistics
Heimat,hometown
Milliliter,Milliliter
zurückkehren,to return
Gegenstand,object
euer,your
umsetzen,implement
betreiben,operate
Zusammenarbeit,cooperation
enden,end up
vielmehr,much more
konzentrieren,focus
landen,land
See,lake
Tourist,tourist
Konzentration,concentration
verbieten,to forbid
krank,Sick
Fähigkeit,capability
finanziell,financially
Jugendliche,Teenager
Netz,network
Änderung,modification
abschließen,to graduate
Erkenntnis,Understanding
selbstverständlich,Of course
erzeugen,generate
Ursache,cause
ursprünglich,originally
Basis,Base
erzielen,achieve
Forschung,research
schießen,shoot
warnen,to warn
Zentimeter,centimeter
eröffnen,open
Ahnung,Idea
ankündigen,to announce
Enzym,enzyme
individuell,individually
intensiv,intensive
Bundesregierung,Federal government
begreifen,understand
Szene,scene
Deutsche Demokratische Republik,German Democratic Republic
rasch,rapid
real,real
Abgeordnete,Deputy
verstärken,strengthen
ausschließen,exclude
sinnvoll,sensible
Bezug,Relation
Dienstag,Tuesday
Stand,was standing
retten,save
zwanzig,twenty
Club,Club
Gewalt,force
gucken,look at
Anschlag,attack
beeinflussen,influence
riechen,smell
außerhalb,outside of
begleiten,to accompany
Publikum,audience
Besucher,Visitor
Wachstum,growth
aufgeben,to give up
stolz,proudly
Verlust,Loss
begründen,establish
streng,strict
Ecke,Corner
Lauf,Run
Artikel,article
berühmt,famous
ersetzen,substitute
Wahrscheinlichkeit,probability
Ausland,abroad
bayrisch,Bavarian
diesmal,this time
Gehirn,Brain
Gebäude,building
langfristig,long -term
herzlich,heartfelt
sichern,to back up
Material,material
verbringen,spend
Strom,electricity
Amt,Government office
kritisieren,criticize
vermitteln,convey
Wirklichkeit,reality
Union,union
Studium,Studies
festhalten,hold tight
präsentieren,present
Demokratie,democracy
niemals,No way
Aufnahme,Recording
Ausnahme,exception
beenden,break up
Investition,investment
Lust,desire
prüfen,test
anlegen,invest
Zuschauer,Viewers
hell,bright
mitten,in the middle
zufolge,according to
Konflikt,conflict
Bahn,Rail
Syrien,Syria
Einkommen,income
empfehlen,recommend
britisch,British
fürchten,to fear
vorbereiten,prepare
Aktivität,activity
Auftrag,Order
froh,joyful
äußern,to express
Geist,Spirit
Objekt,object
möglicherweise,possibly
zuständig,responsible
aufweisen,exhibit
springen,leap
Hof,court
Polizist,police officer
Übung,exercise
Widerstand,Resistance
anziehen,attract
Experte,expert
ohnehin,anyway
füllen,to fill
Gemeinde,Community
Pause,Break
scharf,sharp
schütteln,shake
Fernsehen,TV
Formel,formula
gelb,yellow
Sommersemester,summer semester
heftig,violent
Bühne,stage
empfinden,feel
Schaden,Damage
umgekehrt,vice versa
veröffentlichen,publish
aufstellen,set up
abhängig,dependent
Strecke,Route
Praxis,Practice
ungefähr,approximately
mitnehmen,take along
üblich,common
übertragen,transfer
Wissenschaft,Science
global,global
Nachmittag,afternoon
Annahme,adoption
Umgebung,Vicinity
Öffentlichkeit,Publicity
Spiegel,mirror
zurückkommen,Come back
besetzen,occupy
Gegenteil,opposite
vorbei,over
Fan,fan
Karte,Map
arm,poor
Krise,crisis
Strategie,strategy
Debatte,debate
davor,before
Journalist,journalist
kochen,Cook
zurückgehen,go back
Schmerz,pain
erheblich,significant
ausschließlich,exclusively
griechisch,Greek
naja,oh well
Runde,round
Angriff,attack
einführen,introduce
desto,the more
Wettbewerb,contest
verfügen,feature
woher,from where
Zweifel,doubt
Konzern,Group
tanzen,to dance
überleben,to survive
spezifisch,specific
stabil,stable
Kamera,camera
Schatten,The shade
berücksichtigen,consider
Pferd,Horse
begegnen,to encounter
Zugang,Access
elf,eleven
Suche,Seek
doppelt,double
festlegen,determine
österreichisch,Austrian
sodass,so that
Tatsache,fact
Alkohol,alcohol
informieren,to inform
Norden,north
vermuten,assume
zufrieden,satisfied
reißen,tear
dahin,then
solange,so long
Wissenschaftler,scientist
Kommunikation,communication
Steuer,Tax
angeblich,allegedly
günstig,Cheap
Dezember,December
Flughafen,Airport
Krankenhaus,hospital
wenden,turn
türkisch,Turkish
Gegner,Opponent
Leser,reader
Volkswirtschaftslehre,Economics
Handel,trade
Kenntnis,Knowledge
sichtbar,visible
zulassen,to permit
Mark,mark
vorsehen,provide
Schwierigkeit,difficulty
wahrnehmen,perceive
hinweisen,Clues
Juli,July
Signal,signal
kontrollieren,check
sowieso,anyway
Bauer,Farmer
Kurs,course
einst,once
Service,service
sprachlich,linguistic
bisherig,previous
Fahrer,driver
traditionell,traditional
weinen,cry
genießen,enjoy
Dienst,service
Lager,camp
grau,Gray
anhand,based
Bus,bus
Franken,Franc
Kategorie,category
nett,kind
freundlich,friendly
perfekt,Perfect
reich,rich
Fahrt,journey
Urlaub,vacation
ausländisch,foreign
Instrument,instrument
fern,remote
Gegend,Area
verstecken,hide
Feuer,Fire
bemühen,make an effort
Verständnis,understanding
Alternative für Deutschland,Alternative for Germany
Bakterie,bacterium
tauchen,dive
Konsequenz,consequence
Schuld,fault
Mehrheit,majority
anhaben,wear
Bestimmung,determination
vermeiden,avoid
ehrlich,Honestly
beachten,note
statistisch,statistical
Hals,throat
durchsetzen,push through
italienisch,Italian
Scheiße,crap
Telefon,phone
Herbst,autumn
Ausstellung,exhibition
Bau,Building
Keller,"basement, cellar"
Bürgermeister,mayor
entlang,along
Flasche,Bottle
wunderbar,Marvelous
Zweck,purpose
ehren,to honor
Verwendung,use
letztlich,ultimately
Fläche,Surface
streichen,cancel
zitieren,quote
senken,reduce
behalten,keep
gestalten,design
beweisen,to prove
Umgang,Handling
überprüfen,to verify
Lehrstuhl,Chair
schenken,give
Vorschlag,Suggestion
anhalten,stop
entfernt,away
Leiter,director
Parlament,houses of Parliament
stürzen,overthrow
Waffe,weapon
Kriterium,criteria
Beifall,applause
zerstören,destroy
zuhören,to listen
ausfallen,stand out
Weile,while
drängen,push
einerseits,on the one hand
Spannung,tension
Fortschritt,progress
Mathematik,mathematics
Bad,bath
erläutern,explain
packen,pack
Großbritannien,Great Britain
vorsichtig,careful
anwenden,use
wild,wild
gesetzlich,legally
Spitze,Top
Gerät,device
Wille,will
sicherlich,surely
weisen,point
Tradition,tradition
brennen,burn
freiwillig,voluntarily
umso,the same as
Antrag,application
Reich,Rich
investieren,invest
bestellen,to order
Gelegenheit,opportunity
Mauer,Wall
stattdessen,instead of this
Stuhl,chair
Ton,volume
Büro,office
Umwelt,environment
rauchen,smoking
Beschreibung,description
Pflanze,plant
Tätigkeit,task
Landschaft,landscape
verweisen,refer
Arbeitsplatz,Workplace
erfassen,capture
Komponente,component
Ion,ion
Laden,Load
fein,fine
Stern,star
Schuh,shoe
Knie,Knee
null,zero
Schicht,layer
unglaublich,unbelievable
zurück,return
Realität,reality
sobald,as soon
belegen,occupy
Fluss,Flow
Alternative,alternative
verpflichten,commit
begrüßen,greet
Führung,guide
untere,lower
Handy,mobile
Hauptstadt,capital city
Experiment,experiment
Frieden,Peace
Verlauf,Course
Potenzial,potential
Verlag,Publisher
Ministerpräsident,Prime minister
Vogel,Bird
beschränken,restrict
Branche,Industry
Schauspieler,actor
vorschlagen,suggest
beinahe,nearly
jährlich,yearly
Botschaft,message
Alltag,everyday
Umsatz,sales volume
Verband,Association
betreten,to enter
Regelung,regulation
teilnehmen,take part
überwiegen,outweigh
bedingen,condition
Gestalt,shape
zukommen,get
ablaufen,expire
Minister,minister
Fahrzeug,vehicle
fließen,flow
gemäß,according to
Vorwurf,Accusation
erforderlich,necessary
Haltung,attitude
Schriftsteller,writer
Stimmung,mood
zufällig,coincidentally
enorm,enormously
Fach,Academic subject
begrenzen,limit
Lied,song
Nation,nation
Verhandlung,negotiation
Wein,Wine
Auflage,Edition
billig,cheap
dünn,thin
achten,"respect, think highly of"
Amerikaner,American
Anbieter,Offerer
Industrie,Industry
Spanien,Spain
ab,away
Jude,Jew
Vorgang,Occurrence
ausgeben,output
Meister,master
umdrehen,turn around
weitgehend,largely
traurig,Sad
